date,month,weekday,precipitation,holiday,revenue,total_customer,total_item,total_transaction
1/6/2023,6,4,0.4,1,"340,000",3,7,6
2/6/2023,6,5,0,1,"345,000",4,8,7
3/6/2023,6,6,0.1,0,"45,000",1,1,1
4/6/2023,6,7,1,1,"280,000",1,4,4
5/6/2023,6,1,2.2,0,"405,000",4,9,7
6/6/2023,6,2,23.7,0,"275,000",3,8,7
7/6/2023,6,3,2.3,0,"265,000",4,5,4
8/6/2023,6,4,3,0,"135,000",3,3,3
9/6/2023,6,5,4.3,0,"1,425,000",10,33,18
10/6/2023,6,6,0,0,"100,000",2,2,2
11/6/2023,6,7,0,0,0,0,0,0
12/6/2023,6,1,0.7,0,"360,000",5,7,7
13/6/2023,6,2,2.7,0,"140,000",3,3,3
14/6/2023,6,3,4.4,0,"110,000",2,2,2
15/6/2023,6,4,0.3,0,"150,000",3,3,3
16/6/2023,6,5,7.3,0,"190,000",3,5,5
17/6/2023,6,6,7.4,0,"365,000",3,7,5
18/6/2023,6,7,4.9,0,0,0,0,0
19/6/2023,6,1,13.2,0,"200,000",3,5,4
20/6/2023,6,2,6.8,0,"200,000",3,4,4
21/6/2023,6,3,0.6,0,"265,000",3,4,3
22/6/2023,6,4,0.3,0,"360,000",5,7,6
23/6/2023,6,5,1.7,0,"580,000",4,9,9
24/6/2023,6,6,0.8,0,"540,000",4,10,6
25/6/2023,6,7,0.4,0,0,0,0,0
26/6/2023,6,1,0.8,0,"125,000",2,3,2
27/6/2023,6,2,0,0,"705,000",7,16,12
28/6/2023,6,3,1.5,0,"60,000",1,3,1
29/6/2023,6,4,0,1,0,0,0,0
30/6/2023,6,5,0,0,"345,000",3,5,5
1/7/2023,7,6,0.9,0,"190,000",4,4,4
2/7/2023,7,7,1.1,0,0,0,0,0
3/7/2023,7,1,0.3,0,"585,000",7,11,8
4/7/2023,7,2,3.2,0,"515,000",5,11,10
5/7/2023,7,3,3,0,"265,000",4,4,4
6/7/2023,7,4,24,0,"210,000",3,4,4
7/7/2023,7,5,15.6,0,"85,000",2,2,2
8/7/2023,7,6,23,0,"375,000",4,4,4
9/7/2023,7,7,3.1,0,0,0,0,0
10/7/2023,7,1,7.7,0,"710,000",8,12,11
11/7/2023,7,2,0.9,0,"210,000",2,4,3
12/7/2023,7,3,0,0,"805,000",5,13,10
13/7/2023,7,4,0,0,"715,000",7,12,9
14/7/2023,7,5,2,0,"600,000",4,12,7
15/7/2023,7,6,0.6,0,"225,000",4,5,5
16/7/2023,7,7,0.3,0,0,0,0,0
17/7/2023,7,1,0,0,"280,000",4,5,4
18/7/2023,7,2,0,0,"305,000",4,8,6
19/7/2023,7,3,0,1,"110,000",2,2,2
20/7/2023,7,4,0,0,"665,000",7,12,9
21/7/2023,7,5,0.4,0,"910,000",6,20,14
22/7/2023,7,6,1.4,0,"110,000",2,2,2
23/7/2023,7,7,0,0,0,0,0,0
24/7/2023,7,1,1,0,"45,000",1,1,1
25/7/2023,7,2,1.9,0,"285,000",2,8,7
26/7/2023,7,3,0.4,0,"600,000",6,11,7
27/7/2023,7,4,0,0,"435,000",6,8,8
28/7/2023,7,5,0,0,"170,000",3,4,3
29/7/2023,7,6,0,0,"240,000",3,4,3
30/7/2023,7,7,0,0,0,0,0,0
31/7/2023,7,1,0,0,"200,000",1,2,1
1/8/2023,8,2,0,0,"580,000",6,12,9
2/8/2023,8,3,12.7,0,"630,000",2,10,2
3/8/2023,8,4,2.3,0,"245,000",2,6,3
4/8/2023,8,5,0.2,0,"505,000",4,7,6
5/8/2023,8,6,0,0,"560,000",6,12,9
6/8/2023,8,7,0.3,0,0,0,0,0
7/8/2023,8,1,0.5,0,"60,000",1,1,1
8/8/2023,8,2,0.2,0,"345,000",5,7,5
9/8/2023,8,3,0,0,"55,000",1,1,1
10/8/2023,8,4,0,0,"235,000",3,5,3
11/8/2023,8,5,0,0,"200,000",2,4,3
12/8/2023,8,6,0,0,"495,000",5,9,7
13/8/2023,8,7,0,0,0,0,0,0
14/8/2023,8,1,0,0,"465,000",4,9,7
15/8/2023,8,2,0,0,"880,000",11,17,16
16/8/2023,8,3,0,0,"105,000",2,2,2
17/8/2023,8,4,0.5,1,"575,000",6,11,9
18/8/2023,8,5,0.3,0,"515,000",7,10,8
19/8/2023,8,6,0.3,0,"190,000",2,4,3
20/8/2023,8,7,0,0,0,0,0,0
21/8/2023,8,1,0,0,"395,000",5,7,6
22/8/2023,8,2,0.6,0,"865,000",8,19,13
23/8/2023,8,3,4.1,0,"210,000",3,4,4
24/8/2023,8,4,0.3,0,"165,000",3,4,4
25/8/2023,8,5,0,0,"205,000",4,4,4
26/8/2023,8,6,0.3,0,"605,000",5,13,6
27/8/2023,8,7,1.3,0,0,0,0,0
28/8/2023,8,1,3.5,0,"75,000",3,3,3
29/8/2023,8,2,0.2,0,"1,245,000",9,27,17
30/8/2023,8,3,0,0,"220,000",2,3,3
31/8/2023,8,4,0,0,"900,000",8,17,12
